battleNum,battleDetail,beginDate,endDate,unknownDay,latitude,longitude,shrtNm,desc,type,killed,usCasTot,csCasTot
3482,,1863-10-14,1863-10-14,FALSE,0.232037833,-0.482501057,,"Skirmish at Salt Lick Bridge, W. Va.",Skirmish,0,0,0
3483,,1863-09-08,1863-09-08,FALSE,0.101308865,-0.212166292,,"Skirmish at Beech Fork, Calhoun County, W. Va. ",Skirmish,0,0,0
3484,,1864-07-16,1864-07-16,FALSE,0.109470147,-0.264253571,,"Skirmish on the Clear Fork, near Warrensburg, MO",Skirmish,0,0,0
3485,,1863-02-14,1863-02-14,FALSE,0.157056265,-0.313561429,,"Affair near Union Mills, Va.",Skirmish,0,0,0
3486,,1862-08-26,1862-08-26,FALSE,0.097267196,-0.194208606,,"Skirmish at Bull Run Bridge, VA",Skirmish,0,0,0
3487,,1862-08-27,1862-08-27,FALSE,0.303715892,-0.606414522,,Action at Bull Run Bridge,Skirmish,445,445,0
3488,VA042,1863-10-19,1863-10-19,FALSE,0.268058445,-0.5368922,,Action at Buckland Mills.,Skirmish,0,0,0
3489,,1862-08-27,1862-08-27,FALSE,0.323544412,-0.648016042,,Skirmish at Buckland Bridge . ,Skirmish,0,0,0
3490,,1862-07-08,1862-07-08,FALSE,0.018646793,-0.04532454,,"Skirmish at Pleasant Hill, Mo.",Skirmish,0,0,0
3491,,1864-05-28,1864-05-28,FALSE,0.093564003,-0.227424924,,"Skirmish at Pleasant Hill, Mo.",Skirmish,0,0,0
3492,,1864-07-25,1864-07-25,FALSE,0.373818417,-0.908636037,,"Skirmish at Pleasant Hill, Mo.",Skirmish,0,0,0
3493,,1864-08-26,1864-08-26,FALSE,0.127203362,-0.309191718,,Skirmish near Pleasant Hill.,Skirmish,0,0,0
3494,,1865-05-03,1865-05-03,FALSE,0.026246822,-0.063797841,,"Affair near Pleasant Hill, Mo.",Skirmish,0,0,0
3495,,1862-05-06,1862-05-06,FALSE,0.316390724,-0.661749833,,"Skirmish at Camp McDonald and Arnoldsburg, W. Va.",Skirmish,0,0,0
3496,,1862-03-09,1862-03-09,FALSE,0.032405443,-0.064630133,,"Skirmish at Sangster's Station, Va.",Skirmish,0,0,0
3497,,1863-11-25,1863-11-25,FALSE,0.263713699,-0.52595644,,"Affair near Sangster's Station, Va.",Skirmish,0,0,0
3498,,1863-12-15,1863-12-15,FALSE,0.053847192,-0.107394031,,"Skirmish at Sangster's Station, Va.",Skirmish,0,0,0
3499,,1863-12-17,1863-12-17,FALSE,0.217326682,-0.433441147,,"Skirmish at Sangster's Station, Va.",Skirmish,0,0,0
3500,,1863-10-13,1863-10-13,FALSE,0.261022658,-0.54212672,,"Skirmish at Bulltown, W. Va.",Skirmish,0,0,0
3501,,1864-08-20,1864-08-20,FALSE,0.350028747,-0.726986454,,"Skirmish at Bulltown, W. Va.",Skirmish,0,0,0
3502,,1861-12-04,1861-12-04,FALSE,0.154868394,-0.308271278,,"Skirmish near Burke's Station, Va.",Skirmish,0,0,0
3503,,1863-08-07,1863-08-07,FALSE,0.089430671,-0.178015065,,"Affair at Burke's Station, Va.",Skirmish,0,0,0
3504,,1865-04-10,1865-04-10,FALSE,0.175488086,-0.349315539,,"Skirmishes near Burke's Station, Va.",Skirmish,0,0,0
3505,,1862-08-26,1862-08-26,FALSE,0.11175725,-0.223577146,,"Skirmish at Gainesville, VA",Skirmish,0,0,0
3506,,1862-08-28,1862-08-28,FALSE,0.123602077,-0.247273439,,Engagement near Gainesville.,Battle,0,0,0
3507,,1863-10-14,1863-10-14,FALSE,0.064971664,-0.129979747,,"Skirmish at Gainesville, VA",Skirmish,0,0,0
3508,,1863-10-19,1863-10-19,FALSE,0.369720664,-0.739648577,,"Skirmish at Gainesville, VA",Skirmish,0,0,0
3509,,1863-06-21,1863-06-21,FALSE,0.232357973,-0.46484617,,"Skirmish near Gainesville, Va.",Skirmish,0,0,0
3510,,1861-07-18,1861-07-18,FALSE,0.114797211,-0.22921688,,Skirmish at Mitchell's Ford.,Skirmish,0,0,0
3511,,1863-10-07,1863-10-07,FALSE,0.0888143,-0.17733651,,"Skirmish at Mitchell's Ford, Va.",Skirmish,0,0,0
3512,,1863-10-15,1863-10-15,FALSE,0.189416393,-0.378209838,,"Skirmish at Mitchell's Ford, VA",Skirmish,0,0,0
3513,,1861-10-02,1861-10-02,FALSE,0.064225215,-0.127777477,,"Skirmish at Springfield Station, Va.",Skirmish,0,0,0
3514,,1863-10-15,1863-10-15,FALSE,0.000911526,-0.001819406,,"Skirmish at McLean's Ford, VA",Skirmish,0,0,0
3515,,1864-11-26,1864-11-26,FALSE,0.110777859,-0.220771318,,"Skirmish at Fairfax Station, Va.",Skirmish,0,0,0
3516,,1864-08-08,1864-08-08,FALSE,0.067847882,-0.135215345,,"Skirmish at Fairfax Station, Va.",Skirmish,0,0,0
3517,,1862-09-02,1862-09-02,FALSE,0.213016007,-0.446601655,,"Surrender at Spencer Court-House, W. Va",Skirmish,0,0,0
3518,,1864-06-16,1864-06-16,FALSE,0.294497222,-0.617432224,,"Skirmish at Spencer, W. Va.",Skirmish,0,0,0
3519,VA004,1861-07-18,1861-07-18,FALSE,0.035532305,-0.070921967,,Action at Blackburn's Ford.,Skirmish,85,85,0
3520,,1863-10-15,1863-10-15,FALSE,0.207757643,-0.414681252,,"Skirmish at Blackburn's Ford, VA",Skirmish,0,0,0
3521,,1862-08-26,1862-08-26,FALSE,0.219580384,-0.439242855,,"Skirmish at Hay Market, VA",Skirmish,0,0,0
3522,,1862-08-28,1862-08-28,FALSE,0.234532301,-0.469152279,,"Skirmish at Hay Market, VA",Skirmish,0,0,0
3523,,1863-10-19,1863-10-19,FALSE,0.371235106,-0.742608994,,"Skirmish at Hay Market, VA",Skirmish,0,0,0
3524,VA005,1861-07-21,1861-07-21,FALSE,0.064350972,-0.128537729,First Bull Run,First battle of Bull Run,Battle,5316,3334,1982
3525,,1861-07-15,1861-07-17,FALSE,0.139827325,-0.327321542,,"Skirmish at Wentzville, Mo.",Skirmish,0,0,0
3526,,1862-08-28,1862-08-28,FALSE,0.227347038,-0.453928546,,"Skirmish at Lewis' Ford, VA",Skirmish,0,0,0
3527,,1862-08-30,1862-08-30,FALSE,0.033981206,-0.06784799,,"Skirmish at Lewis' Ford, VA",Skirmish,0,0,0
3528,VA026,1862-08-30,1862-08-30,FALSE,0.032887701,-0.065713172,2nd Bull Run,Second battle Bull Run,Battle,22180,13830,8350
3529,,1863-10-17,1863-10-18,FALSE,0.16050806,-0.32071032,,Skirmishes at Groveton.,Skirmish,0,0,0
3530,,1862-08-29,1862-08-29,FALSE,0.287210213,-0.573951903,,"Battle of Groveton, or Manassas Plains.",Battle,0,0,0
3531,,1862-04-02,1862-04-02,FALSE,0.195636833,-0.395951286,,"Skirmish at Stony Creek, near Edenburg, Va.",Skirmish,0,0,0
3532,,1863-11-16,1863-11-16,FALSE,0.227108474,-0.459626732,,"Skirmish at Edenburg, Va.",Skirmish,0,0,0
3533,,1864-11-07,1864-11-07,FALSE,0.260783535,-0.527779002,,"Skirmish near Edenburg, Va.",Skirmish,0,0,0
3534,,1864-09-23,1864-09-23,FALSE,0.230544811,-0.466581259,,"Skirmish near Edenburg, Va.",Skirmish,0,0,0
3535,,1862-11-04,1862-11-04,FALSE,0.23497884,-0.470394294,,"Skirmish at Manassas Gap, VA",Skirmish,0,0,0
3536,,1862-11-05,1862-11-06,FALSE,0.199889131,-0.400149676,,"Reconnaissance to Manassas Gap, and skirmish.",Skirmish,0,0,0
3537,,1863-07-21,1863-07-22,FALSE,0.327650313,-0.655909432,,"Skirmishes at Manassas Gap, Va.",Skirmish,0,0,0
3538,VA108,1863-07-23,1863-07-23,FALSE,0.327048535,-0.654704758,,"Action at Wapping Heights, Manassas Gap, Va.",Skirmish,103,103,0
3539,,1863-10-15,1863-10-15,FALSE,0.240366677,-0.479846067,,"Skirmish on Bull Run, VA",Skirmish,0,0,0
3540,VA025,1862-08-28,1862-08-28,FALSE,0.247568559,-0.495532454,,Engagement at Thoroughfare Gap,Battle,250,100,150
3541,,1863-06-17,1863-06-17,FALSE,0.301745593,-0.603973037,,"Skirmish at Thoroughfare Gap, Va.",Skirmish,0,0,0
3542,,1864-01-27,1864-01-27,FALSE,0.099061305,-0.198308977,,"Affair near Thoroughfare Mountain, Va.",Skirmish,0,0,0
3543,,1861-12-02,1861-12-02,FALSE,0.005739806,-0.011410965,,"Skirmish at Annandale, Va.",Skirmish,0,0,0
3544,,1863-10-18,1863-10-18,FALSE,0.148632203,-0.29548677,,"Affair near Annandale, Va.",Skirmish,0,0,0
3545,,1863-10-22,1863-10-22,FALSE,0.164560849,-0.327153557,,"Affair near Annandale, Va.",Skirmish,0,0,0
3546,,1863-08-11,1863-08-11,FALSE,0.113328073,-0.225300747,,"Capture of Union wagon train near Annandale, Va.",Skirmish,0,0,0
3547,,1864-03-16,1864-03-16,FALSE,0.198089287,-0.393809434,,"Affair near Annandale, Va.",Skirmish,0,0,0
3548,,1864-08-24,1864-08-24,FALSE,0.114411791,-0.227455221,,"Skirmish at Annandale, Va.",Skirmish,0,0,0
3549,,1862-08-28,1862-08-28,FALSE,0.35708188,-0.71205143,,"Skirmish at Centreville, VA",Skirmish,0,0,0
3550,,1863-10-14,1863-10-14,FALSE,0.141052774,-0.281271146,,"Skirmish near Centreville, VA",Skirmish,0,0,0
3551,,1863-09-01,1863-09-01,FALSE,0.253844242,-0.509890231,,Skirmish at Barbee's Cross-Roads.,Skirmish,0,0,0
3552,,1862-11-05,1862-11-05,FALSE,0.107590012,-0.216113217,,Action at Barbee's Cross-Roads.,Skirmish,0,0,0
3553,,1863-07-25,1863-07-25,FALSE,0.119946535,-0.24093344,,"Skirmish at Barbee's Cross-Roads, Va.",Skirmish,0,0,0
