Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA  
"Gray, Robbie",PA,19,127,40,188,315,15,7,,57,3,40,44,41,12,19,5,139,180,4,10,27,4,14
"Anderson, Jed",NM,15,177,41,138,315,3,4,,75,19,53,64,47,21,8,3,146,162,2,3,17,,10
"Murphy, Marc",CA,17,178,63,135,313,4,7,,37,14,51,41,45,11,18,2,106,199,,7,11,4,7
"Daicos, Josh",CW,18,169,68,143,312,10,3,,42,25,39,32,31,18,8,2,104,211,3,4,11,1,3
"Clark, Hunter",SK,18,188,64,122,310,1,1,,46,41,28,33,54,13,20,,112,199,2,1,19,,2
"McGrath, Andrew",ES,14,149,22,161,310,,1,,67,28,35,69,48,14,12,7,128,177,,,17,6,3
"Kelly, Josh",GW,14,177,42,132,309,5,8,,58,27,54,55,26,16,8,8,125,183,1,5,12,3,8
"Amon, Karl",PA,19,199,58,107,306,5,8,,55,35,50,29,48,8,15,1,86,225,3,5,22,4,6
"Jones, Zak",SK,16,157,47,147,304,5,8,,57,19,46,62,58,14,15,7,145,160,,4,11,8,7
"Ridley, Jordan",ES,17,211,110,93,304,,2,,20,71,16,7,25,10,8,,66,205,18,,86,2,4
"Greenwood, Hugh",GC,17,173,27,130,303,3,4,3,117,27,35,93,52,16,18,11,211,97,4,1,27,,6
"Tuohy, Zach",GE,18,228,72,74,302,8,7,,16,52,50,18,40,6,7,,76,200,3,5,19,1,3
"Salem, Christian",ME,16,200,64,101,301,2,,,41,59,32,9,40,4,11,,70,204,5,1,20,4,3
"Fyfe, Nat",FR,14,130,43,170,300,10,6,,42,16,32,64,45,19,18,10,175,127,16,11,34,,7
"Lambert, Kane",RI,19,131,57,168,299,9,3,,64,10,47,34,44,11,14,6,116,186,,5,26,,11
"Williams, Bailey",WB,18,202,82,96,298,3,2,,24,89,41,8,34,12,9,1,76,197,7,1,41,7,3
"Docherty, Sam",CA,16,216,83,82,298,,1,,19,83,30,8,37,15,6,1,83,183,2,,28,5,1
"Cerra, Adam",FR,17,143,51,152,295,2,3,,64,19,35,35,36,17,17,3,122,180,3,1,25,1,5
"Perryman, Harry",GW,16,170,61,124,294,11,2,,32,37,43,19,38,10,8,4,107,193,6,5,27,,2
"Ellis, Brandon",GC,16,194,68,99,293,5,3,,42,29,44,21,47,13,13,,82,196,3,1,16,9,2
"Hill, Bradley",SK,19,201,63,92,293,2,3,,27,35,48,14,49,5,12,2,45,232,,4,12,21,4
"Houston, Dan",PA,17,211,71,82,293,1,3,,49,56,44,22,38,17,7,,101,167,8,2,33,,3
"Cotchin, Trent",RI,16,163,37,129,292,1,3,,51,35,61,66,70,12,17,5,162,136,1,1,24,1,6
"Smith, Devon",ES,16,158,40,133,291,7,7,,61,24,40,25,44,15,12,,101,170,1,1,12,2,3
"Mundy, David",FR,16,131,33,159,290,4,1,,59,19,40,72,29,7,9,3,141,160,,3,18,1,3
"Bowes, Jack",GC,17,195,69,95,290,1,,,30,61,25,16,45,5,10,,97,163,6,2,31,1,3
"Langford, Kyle",ES,16,146,65,142,288,11,9,,30,11,35,26,41,9,8,,105,181,8,15,11,6,5
"Weller, Lachie",GC,17,161,39,126,287,12,3,,48,36,52,52,44,13,9,1,108,168,1,1,13,16,2
"Ross, Sebastian",SK,16,146,29,141,287,2,2,,45,23,37,49,42,7,17,1,108,176,,,15,3,5
"Worpel, James",HW,15,167,39,120,287,2,7,,81,9,41,47,48,11,18,,125,154,,4,16,,3
"Zorko, Dayne",BL,17,222,65,64,286,9,15,,75,37,60,55,48,20,20,,106,166,1,9,26,3,7
"Shiels, Liam",HW,16,162,46,124,286,6,,,55,22,41,43,53,10,18,1,102,178,2,5,17,1,2
"Sheppard, Brad",WC,18,194,112,92,286,2,,,34,62,12,5,23,14,7,,63,212,1,,74,2,2
"Bolton, Shai",RI,18,170,55,115,285,15,10,,47,15,78,59,61,11,22,9,121,174,,8,16,17,10
"Baker, Liam",RI,19,156,70,127,283,1,1,,37,51,23,9,35,18,11,3,107,177,1,,35,3,1
"Anderson, Noah",GC,17,159,48,122,281,4,4,,32,17,51,38,42,10,10,,121,159,2,5,20,3,4
"Hartlett, Hamish",PA,19,174,69,107,281,2,1,,53,45,37,18,37,16,11,1,87,183,1,,35,,3
"Duggan, Liam",WC,17,211,98,70,281,,2,,31,48,33,14,30,8,8,,69,212,1,,45,3,2
"Powell-Pepper, Sam",PA,19,123,36,157,280,7,12,,77,7,60,53,59,9,23,3,131,158,3,7,21,6,6
"Florent, Oliver",SY,17,180,40,98,278,4,4,,43,19,72,47,45,7,13,2,109,172,2,3,19,8,4
